 ,Area,Mean,Min,Max,Angle,Length
1,21.165,144.787,65.850,229.218,91.653,121.073
2,21.501,107.321,24.627,216.047,-104.313,122.917
3,15.920,162.667,26.000,222.523,78.496,91.069
4,16.530,78.975,34.774,215.777,75.450,94.541
5,18.512,129.572,16.062,231.331,69.532,105.877
6,17.048,79.431,2.870,192.523,56.993,97.459
7,17.231,118.772,32.831,249.731,76.038,98.434
8,14.913,156.240,12.150,227.397,78.299,85.248
9,18.726,78.723,11.912,221.034,-85.042,107.103
10,13.236,116.755,32.796,250.284,92.645,75.698
11,18.939,100.084,13.635,207.425,14.372,108.347
12,20.068,85.072,8.801,226.632,29.572,114.652
13,17.201,91.015,6.011,247.552,94.789,98.314
14,19.092,140.633,13.851,234.424,54.580,109.078
15,15.249,72.471,1.564,219.333,103.313,87.217
16,14.578,102.122,10.195,227.376,98.317,83.304
17,16.804,119.000,11.127,221.293,4.279,95.968
18,15.371,134.864,23.208,226.521,41.775,87.814
19,15.005,171.142,67.018,227.963,29.542,85.713
20,16.469,103.718,10.137,217.334,33.720,94.062
21,15.432,123.569,34.333,245.468,107.286,88.157
22,16.682,151.180,2.897,214.486,95.460,95.435
23,15.584,102.478,10.458,233.534,117.419,89.122
24,15.584,145.899,32.266,238.494,39.432,89.084
25,15.767,94.346,45.192,214.097,46.493,90.052
26,17.872,114.626,28.083,242.576,-23.585,102.136
27,13.602,105.632,26.039,207.277,102.599,77.662
28,14.090,155.019,9.000,239.223,118.789,80.503
29,9.485,77.221,16.334,194.609,-41.203,54.082
30,14.181,125.921,13.193,231.593,-9.300,81.049
31,13.114,111.201,30.412,214.252,3.743,74.904
32,15.188,157.665,12.326,220.301,26.771,86.847
33,14.517,92.335,25.657,188.824,93.019,82.893
34,15.340,134.954,9.430,238.962,107.858,87.701
35,17.506,90.643,16.920,218.206,-45.990,100.039
36,19.336,121.276,19.696,240.339,85.109,110.598
37,16.438,65.787,6.800,174.400,-13.545,93.948
38,16.896,68.571,3.491,231.563,97.485,96.523
39,11.467,83.091,28.476,151.127,31.487,65.533
