 ,Area,Mean,Min,Max,Angle,Length
1,12.110,91.042,5.058,245.202,-8.150,70.928
2,9.555,45.596,8.242,209.492,-65.542,55.978
3,13.040,85.371,1.000,246.504,86.160,76.347
4,11.181,38.399,7.519,130.889,81.322,65.508
5,11.617,48.814,2.228,225.578,41.753,68.073
6,9.671,74.656,0.472,238.462,50.261,56.513
7,13.388,78.024,0.898,237.256,31.926,78.308
8,13.243,44.746,2.571,237.151,46.067,77.617
9,11.268,108.545,11.034,227.659,87.633,66.007
10,13.185,42.846,7.375,229.906,80.080,77.159
11,12.517,65.497,0.274,218.333,-67.555,73.201
12,12.720,101.852,5.047,244.357,-56.019,74.396
13,7.522,79.295,3.190,249.511,16.891,43.990
14,9.903,101.642,18.475,226.065,80.012,57.968
15,11.878,65.824,0.608,209.333,112.036,69.494
16,11.297,126.214,18.117,248.507,87.934,66.164
17,11.065,75.689,18.731,205.648,93.021,64.677
18,10.862,93.921,8.165,246.430,123.860,63.619
19,11.907,90.810,16.409,188.240,-136.388,69.671
20,10.397,100.259,7.647,233.993,-30.661,60.820
21,11.268,99.995,1.190,240.607,24.248,65.978
22,11.036,98.818,12.294,209.791,-41.684,64.577
23,8.916,135.083,30.618,248.503,45.926,52.184
24,8.277,114.840,13.856,226.736,-60.730,48.449
25,11.152,101.049,16.333,214.490,92.541,65.334
26,12.168,127.832,34.589,228.592,36.733,71.234
27,8.219,67.155,7.999,195.730,11.868,48.062
28,12.168,67.065,0.350,231.266,-7.839,71.218
29,12.227,114.903,17.094,245.728,-16.621,71.494
30,9.003,117.636,29.000,227.068,80.690,52.671
31,9.816,133.853,17.000,229.008,42.354,57.420
32,7.086,106.578,6.613,244.751,-51.671,41.493
33,13.272,116.355,4.306,246.761,93.898,77.719
34,11.994,86.119,0.667,194.625,82.754,70.261
35,8.277,61.044,3.636,204.851,113.225,48.401
36,10.019,22.807,0.000,146.633,-15.007,58.576
37,10.920,115.408,10.904,236.394,15.148,63.911
38,12.256,143.015,5.920,247.973,83.720,71.664
39,10.774,138.354,6.000,240.753,84.721,62.980
40,10.542,122.571,43.270,241.000,-24.444,61.774
41,12.953,98.656,7.319,242.322,-23.283,75.879
42,9.845,106.308,5.333,225.772,-45.959,57.608
43,9.003,42.844,2.150,145.274,-41.064,52.663
44,10.658,98.311,1.287,243.265,-49.433,62.366
45,11.268,66.015,3.279,229.110,-27.028,66.002
46,10.426,101.811,5.543,253.715,119.070,61.028
47,9.729,108.804,6.082,221.979,105.827,56.859
48,12.575,81.305,0.370,218.903,21.752,73.576
49,11.268,101.772,2.030,249.387,16.983,65.929
50,10.194,90.140,3.039,243.071,100.217,59.568
51,11.588,108.501,0.856,248.648,29.977,67.873
52,11.355,105.251,0.333,231.333,91.469,66.484
53,12.575,124.980,0.000,246.501,41.248,73.664
54,11.559,81.965,1.994,253.582,-120.246,67.664
55,12.314,113.451,3.215,231.584,10.753,72.160
56,9.671,126.103,2.538,252.900,-49.155,56.544
57,11.007,85.617,0.000,249.302,10.210,64.415
58,10.077,112.868,18.667,232.000,-90.000,58.964
59,8.742,95.884,2.036,220.696,13.109,51.093
60,10.891,140.318,4.903,249.274,79.983,63.684
61,10.745,86.422,0.549,226.131,-80.793,62.841
62,11.500,130.540,1.000,224.333,40.177,67.358
63,12.749,101.936,2.238,250.067,12.131,74.604
64,8.771,117.374,0.983,245.749,50.389,51.320
65,13.417,112.250,0.758,232.571,-9.238,78.558
66,12.110,97.914,3.844,231.589,28.105,70.903
67,9.497,138.866,0.790,233.557,51.093,55.625
68,11.210,141.913,13.571,238.253,63.102,65.544
69,8.393,92.583,18.258,243.104,53.607,49.116
70,9.090,164.467,35.333,249.237,74.181,53.137
71,9.351,128.063,5.667,230.175,-52.094,54.644
72,7.841,117.880,33.986,227.461,-84.247,45.903
73,10.862,97.257,3.108,232.680,30.832,63.508
74,10.048,120.451,22.957,245.000,1.660,58.818
75,10.194,83.865,0.000,248.125,97.227,59.608
76,8.945,108.985,4.040,216.750,80.630,52.334
77,11.675,36.961,0.337,205.033,39.330,68.297
78,10.368,155.578,4.000,239.201,63.291,60.665
79,12.807,25.675,0.168,228.162,-33.979,75.010
80,7.348,93.686,1.016,238.075,2.499,42.986
