oyst_num,Area,Mean,Min,Max,Angle,Length,bag_num
1,14.403,113.746,28.989,238.946,83.044,81.556,27-1
2,17.202,155.759,14.26,252.222,112.708,97.317,27-1
3,17.669,127.377,20.712,251.213,44.143,100.032,27-1
4,17.14,140.821,3.807,247.824,64.134,97.025,27-1
5,16.051,115.406,16.722,249.82,75.964,90.901,27-1
6,17.856,140.236,26.599,247.435,101.585,101.003,27-1
7,17.825,147.605,37.151,246,51.528,100.925,27-1
8,20.22,177.316,26.598,249.858,106.758,114.386,27-1
9,14.061,130.081,33.596,245.564,68.835,79.624,27-1
10,17.762,139.808,13.484,248.474,94.73,100.522,27-1
1,16.842,112.62,32.326,253.641,11.905,95.943,28-1
2,18.314,138.674,46.114,254,-1.826,104.442,28-1
3,15.461,152.037,40.041,247.942,4.329,88.176,28-1
4,17.363,170.358,17.032,253.841,-4.974,98.981,28-1
5,14.234,166.749,10.73,253.227,2.473,81.169,28-1
6,16.872,165.946,31.22,252.529,2.925,96.107,28-1
7,13.375,180.037,15.667,252.138,2.77,76.103,28-1
8,14.449,144.399,30.667,245.907,-6.354,82.3,28-1
9,19.48,132.671,20.868,252.924,4.163,110.987,28-1
10,15.032,153.86,34.66,247.869,8.942,85.638,28-1
1,14.967,128.543,37.606,249.664,80.557,85.308,28-2
2,12.764,127.59,37.065,238.292,83.933,72.838,28-2
3,15.794,111.873,2.157,252.667,44.37,90.066,28-2
4,15.61,172.996,68.377,252.339,19.502,89.088,28-2
5,14.6,163.78,43.806,251.337,38.773,83.253,28-2
6,13.192,164.598,16.68,252.58,93.867,75.226,28-2
7,14.57,143.13,38.954,251.299,-19.313,83.052,28-2
8,12.305,126.828,49.47,249.546,-36.784,70.121,28-2
9,14.263,85.224,8.699,219.305,88.768,81.372,28-2
10,17.018,149.716,4.128,248.943,93.203,97.075,28-2
1,16.491,158.777,43.861,250.667,50.542,93.161,29-1
2,11.994,147.871,6.769,253.271,1.795,67.721,29-1
3,14.68,136.38,4.019,249.823,24.98,82.862,29-1
4,15.929,98.714,3.911,251.172,96.203,89.952,29-1
5,18.459,136.161,1.333,249.097,65.13,104.215,29-1
6,15.742,106.989,7.652,233.788,43.791,88.871,29-1
7,18.365,131.611,11.267,249.748,53.736,103.676,29-1
8,17.959,114.453,9.467,248.222,48.673,101.432,29-1
9,16.023,133.241,50.106,247.015,38.503,90.558,29-1
10,19.521,136.766,28.496,248.941,69.068,110.314,29-1
1,16.097,152.236,0.333,248.364,76.337,91.444,43-1
2,14.494,115.084,10.942,244.37,57.463,82.278,43-1
3,12.551,157.036,12.355,251,32.125,71.33,43-1
4,11.872,160.551,15.182,246.84,135.739,67.431,43-1
5,16.375,173.911,2.84,250.264,134.006,93.019,43-1
6,15.85,103.015,0.865,252.284,59.438,90.14,43-1
7,15.48,167.87,3.858,241.106,65.584,87.941,43-1
8,11.687,188.662,1.66,251.543,117.787,66.297,43-1
9,16.251,134.144,2.476,251.824,97.206,92.396,43-1
10,15.08,165.655,8.408,250.037,54.844,85.699,43-1
1,15.314,134.634,17.367,251.889,94.118,87.556,43-2
2,16.931,183.729,26.667,253.526,89.069,96.774,43-2
3,16.229,141.081,18.935,242.879,87.299,92.672,43-2
4,17.053,151.495,26.616,249.173,95.139,97.502,43-2
5,13.728,149.234,24.06,247.374,102.086,78.413,43-2
6,13.24,170.593,49.788,245.253,85.764,75.66,43-2
7,16.839,84.23,2,250.938,88.233,96.283,43-2
8,17.876,146.261,4.435,250.426,91.567,102.214,43-2
9,11.714,118.838,12.127,248.13,79.481,66.972,43-2
10,17.236,147.079,30.583,243.827,93.456,98.512,43-2
1,14.82,153.696,37.717,248.188,74.661,84.271,44-1
2,15.867,147.23,18.312,248.544,-31.958,90.201,44-1
3,10.783,109.672,3.828,251.333,-7.247,61.222,44-1
4,17.746,144.958,34.035,251.806,85.708,100.86,44-1
5,14.696,128.384,2.667,244.101,77.132,83.543,44-1
6,15.313,152.334,5.291,251.274,0.809,87.07,44-1
7,14.357,141.401,17.319,245.893,55.149,81.706,44-1
8,13.587,124.356,2.688,239.178,105.301,77.159,44-1
9,18.856,117.151,5.447,238.682,58.65,107.288,44-1
10,21.043,103.031,1.098,228.155,59.526,119.753,44-1
1,17.075,167.344,58.515,239.66,118.265,96.151,45-1
2,19.932,159.66,30.781,246.333,74.737,112.391,45-1
3,12.116,161.674,51.662,234.955,109.894,68.205,45-1
4,13.497,158.356,24.415,241.889,-59.792,76.058,45-1
5,15.349,127.014,18.2,245.364,8.595,86.544,45-1
6,16.197,87.105,1.121,245.494,144.333,91.155,45-1
7,17.515,179.177,23.412,238.179,125.287,98.756,45-1
8,18.582,142.593,4,245.996,-6.897,104.756,45-1
9,13.623,166.977,43.512,247.221,105.8,76.78,45-1
10,14.91,175.391,35.994,246.352,61.814,84.02,45-1
1,15.209,167.761,10.932,249.151,105.09,86.032,45-2
2,15.52,100.96,32.948,209.222,107.416,87.796,45-2
3,14.058,143.674,21.591,248.734,86.947,79.475,45-2
4,13.623,117.448,45.876,244.842,81.055,77.125,45-2
5,13.841,158.155,11.889,247.957,71.892,78.302,45-2
6,13.841,150.412,38.114,247,76.715,78.282,45-2
7,18.599,141.507,4.465,249,85.005,105.334,45-2
8,14.867,118.818,2.935,250.116,83.501,84.135,45-2
9,14.68,209.905,21.667,250.274,73.72,83.044,45-2
10,20.092,143.192,17.608,250.012,90.711,113.761,45-2
1,10.001,126.149,9.334,242.363,120.53,56.206,93-1
2,13.366,137.362,36.49,246.535,-42.228,75.202,93-1
3,14.718,162.656,58.333,233.443,116.181,82.8,93-1
4,15.064,167.986,5.518,247.061,75.092,84.785,93-1
5,11.259,137.697,15.718,248.468,95.471,63.244,93-1
6,13.901,159.048,16.556,254.481,87.403,78.287,93-1
7,15.505,132.444,50.333,247.333,51.358,87.187,93-1
8,13.052,139.728,47.611,249,9.167,73.47,93-1
9,13.492,132.769,17.84,245.577,112.671,75.915,93-1
10,15.41,151.443,28.601,237.966,73.491,86.749,93-1
1,15.502,132.276,36.81,241.978,80.195,89.892,93-2
2,9.378,189.434,73.766,250.739,105.048,54.322,93-2
3,16.389,196.185,39.333,251.277,79.584,95.135,93-2
4,12.218,138.929,63.987,241.599,85.825,70.879,93-2
5,14.585,146.754,12.042,251.526,83.467,84.657,93-2
6,13.667,160.908,25.667,241.984,74.788,79.318,93-2
7,10.561,109.841,14.089,253.333,-58.456,61.151,93-2
8,12.632,103.476,5.719,245.535,82.041,73.289,93-2
9,13.105,80.089,1.005,244.324,89.87,76.023,93-2
10,14.466,122.305,24.333,248.071,91.409,83.96,93-2
1,15.232,122.181,5.887,222.75,17.934,87.726,94-1
2,15.292,121.594,29.367,245.323,89.887,88.139,94-1
3,10.974,132.549,1,249.901,88.588,63.223,94-1
4,14.273,165.077,3.359,253.333,132.866,82.216,94-1
5,15.682,101.132,13.91,208.574,22.189,90.325,94-1
6,14.602,188.852,1,249.611,72.646,84.178,94-1
7,11.064,124.414,1.865,213.303,86.103,63.697,94-1
8,12.953,156.447,21,252.576,33.542,74.585,94-1
9,11.814,123.877,9.497,239.989,4.957,68.134,94-1
10,16.012,136.983,6.616,247.64,-23.34,92.222,94-1
