Bag,Oyster,Whole_Mass_g,Body_Mass_g,WM_nowb,BM_nowb,Dry_Body_Mass_g,Dry_Whole_Mass_g
98-1,1,26.8,8.6,26.8,8.6,1.961,15.587
98-1,2,40.7,11.6,40.7,11.6,2.307,25.938
98-1,3,32.6,9.6,32.6,9.6,1.833,20.609
98-1,4,63.3,17,63.3,17,2.75,40.38
98-1,5,42.9,12.2,42.9,12.2,2.398,26.824
98-1,6,23.2,6.2,23.2,6.2,1.736,15.725
98-1,7,21.2,4.5,21.2,4.5,1.657,13.584
98-1,8,27,8.6,27,8.6,1.931,17.627
98-1,9,43.3,11.4,43.3,11.4,2.626,28.905
98-1,10,20.9,5.7,20.9,5.7,1.69,13.915
28-2,1,40.5,11.1,40.5,11.1,2.703,27.149
28-2,2,24.6,7.1,24.6,7.1,2.032,15.285
28-2,3,70.8,20.9,70.8,20.9,3.831,41.45
28-2,4,83.2,26.29,83.2,26.29,5.039,47.75
28-2,5,61.6,20.6,61.6,20.6,3.864,38.31
28-2,6,33.6,7.7,33.6,7.7,2.18,22.992
28-2,7,32.1,9.5,32.1,9.5,2.334,20.316
28-2,8,27.9,7.1,27.9,7.1,1.924,18.564
28-2,9,41.2,13.6,41.2,13.6,3.826,25.295
28-2,10,66.5,19.4,66.5,19.4,3.839,39.57
94-1,1,44.4,12,44.4,12,3.01,31.01
94-1,2,56.8,14.5,56.8,14.5,3.147,35.56
94-1,3,25.6,6.8,25.6,6.8,2.027,17.989
94-1,4,42.6,11.6,42.6,11.6,2.817,31.974
94-1,5,54.6,15.4,54.6,15.4,3.204,34.13
94-1,6,44.7,10.5,44.7,10.5,2.66,29.788
94-1,7,29.2,7,29.2,7,1.874,18.518
94-1,8,41.8,14,41.8,14,3.032,22.481
94-1,9,33.5,8.7,33.5,8.7,2.117,21.63
94-1,10,44.8,12.6,44.8,12.6,2.618,29.537
95-1,1,38.8,8.2,38.8,8.2,2.281,25.431
95-1,2,48.9,14.7,48.9,14.7,3.017,30.945
95-1,3,40.5,10.8,40.5,10.8,2.463,26.86
95-1,4,24.3,4.1,24.3,4.1,1.63,15.828
95-1,5,43,11.1,43,11.1,2.825,29.117
95-1,6,48.5,12.5,48.5,12.5,2.888,31.651
95-1,7,24.8,5.4,24.8,5.4,1.728,16.743
95-1,8,21.9,5.9,21.9,5.9,1.841,14.875
95-1,9,41.8,11.4,41.8,11.4,2.385,27.355
95-1,10,27.1,7.3,27.1,7.3,1.857,18.324
43-1,1,59.2,18.2,59.2,18.2,3.966,41.35
43-1,2,39.7,13.2,39.7,13.2,3.742,26.604
43-1,3,32.1,7,32.1,7,2.508,23.16
43-1,4,33.2,11,33.2,11,2.339,22.314
43-1,5,48.4,15.4,48.4,15.4,3.31,29.99
43-1,6,50.7,18,50.7,18,3.852,32.271
43-1,7,45.1,13.7,45.1,13.7,2.966,26.756
43-1,8,38.5,14.2,38.5,14.2,3.325,24.34
43-1,9,43.5,15.1,43.5,15.1,4.183,26.737
43-1,10,49.2,12.2,49.2,12.2,2.974,32.127
93-1,1,16.7,3.3,16.7,3.3,1.555,12.123
93-1,2,37.3,7.7,37.3,7.7,1.947,24.293
93-1,3,39.1,9.2,39.1,9.2,2.193,25.622
93-1,4,47.6,12.6,47.6,12.6,2.801,31.488
93-1,5,25.3,7.6,25.3,7.6,2.025,16.99
93-1,6,28.5,10,28.5,10,2.334,19.339
93-1,7,43.1,12.1,43.1,12.1,2.644,26.894
93-1,8,33.9,9.2,33.9,9.2,2.188,21.703
93-1,9,45.5,11.4,45.5,11.4,2.477,31.767
93-1,10,44.7,11,44.7,11,2.798,29.476
29-1,1,55.3,17.4,55.3,17.4,4.583,34.76
29-1,2,39.8,11.2,39.8,11.2,3.251,25.684
29-1,3,49.7,14.3,49.7,14.3,3.755,32.221
29-1,4,77.2,21.5,77.2,21.5,4.564,50.04
29-1,5,69.8,19.1,69.8,19.1,4.188,42.87
29-1,6,65.1,22.4,65.1,22.4,4.826,34.05
29-1,7,66.2,19.3,66.2,19.3,4.621,42.91
29-1,8,63.6,13.4,63.6,13.4,3.183,41.68
29-1,9,57.6,15.9,57.6,15.9,3.924,42.87
29-1,10,88.1,25.8,88.1,25.8,4.502,56.84
95-2,1,45.9,14.3,45.9,14.3,2.239,30.121
95-2,2,42.3,12.3,42.3,12.3,2.932,31.077
95-2,3,19.9,5.3,19.9,5.3,1.707,13.514
95-2,4,38.1,14.1,38.1,14.1,2.617,23.96
