------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 042A 9E00 EA0E 01
custom name, 96
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 4841
time diff [logger-smartphone](sec), 47
lat, 48.596816
long, -123.144764
accuracy (m), 13.6
------------------------------,--------------------
time,temp
2025-06-24 00:10:01,23.0
2025-06-24 00:15:01,22.8
2025-06-24 00:20:01,22.8
2025-06-24 00:25:01,22.7
2025-06-24 00:30:01,22.6
2025-06-24 00:35:01,22.6
2025-06-24 00:40:01,22.5
2025-06-24 00:45:01,22.4
2025-06-24 00:50:01,22.3
2025-06-24 00:55:01,22.2
2025-06-24 01:00:01,22.2
2025-06-24 01:05:01,22.2
2025-06-24 01:10:01,22.1
2025-06-24 01:15:01,22.0
2025-06-24 01:20:01,22.1
2025-06-24 01:25:01,21.9
2025-06-24 01:30:01,21.9
2025-06-24 01:35:01,21.9
2025-06-24 01:40:01,21.8
2025-06-24 01:45:01,21.8
2025-06-24 01:50:01,21.7
2025-06-24 01:55:01,21.6
2025-06-24 02:00:01,21.7
2025-06-24 02:05:01,21.7
2025-06-24 02:10:01,21.8
2025-06-24 02:15:01,21.7
2025-06-24 02:20:01,21.6
2025-06-24 02:25:01,21.7
2025-06-24 02:30:01,21.7
2025-06-24 02:35:01,21.7
2025-06-24 02:40:01,21.8
2025-06-24 02:45:01,21.9
2025-06-24 02:50:01,21.9
2025-06-24 02:55:01,21.9
2025-06-24 03:00:01,21.8
2025-06-24 03:05:01,21.9
2025-06-24 03:10:01,22.0
2025-06-24 03:15:01,21.9
2025-06-24 03:20:01,21.9
2025-06-24 03:25:01,21.9
2025-06-24 03:30:01,21.9
2025-06-24 03:35:01,21.9
2025-06-24 03:40:01,21.9
2025-06-24 03:45:01,21.9
2025-06-24 03:50:01,22.0
2025-06-24 03:55:01,21.9
2025-06-24 04:00:01,22.0
2025-06-24 04:05:01,22.0
2025-06-24 04:10:01,22.0
2025-06-24 04:15:01,22.0
2025-06-24 04:20:01,21.9
2025-06-24 04:25:01,21.9
2025-06-24 04:30:01,21.9
2025-06-24 04:35:01,21.9
2025-06-24 04:40:01,21.9
2025-06-24 04:45:01,21.9
2025-06-24 04:50:01,21.8
2025-06-24 04:55:01,21.8
2025-06-24 05:00:01,21.6
2025-06-24 05:05:01,21.7
2025-06-24 05:10:01,21.6
2025-06-24 05:15:01,21.6
2025-06-24 05:20:01,21.5
2025-06-24 05:25:01,21.5
2025-06-24 05:30:01,21.4
2025-06-24 05:35:01,21.3
