ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2025-08-19T09:58:00.000,25.95,312.86,17.65,-19.02
2025-08-19T09:59:00.000,210.51,316.28,152.13,-145.50
2025-08-19T10:00:00.000,63.07,13.22,61.40,14.42
2025-08-19T10:01:00.000,26.65,143.42,-21.40,15.88
2025-08-19T10:02:00.000,197.04,327.75,166.65,-105.14
2025-08-19T10:03:00.000,197.01,327.73,166.58,-105.18
2025-08-19T10:04:00.000,197.06,327.77,166.70,-105.09
2025-08-19T10:05:00.000,197.07,327.76,166.69,-105.13
2025-08-19T10:06:00.000,197.09,327.74,166.68,-105.19
2025-08-19T10:07:00.000,197.10,327.75,166.69,-105.18
2025-08-19T10:08:00.000,196.96,327.75,166.57,-105.11
2025-08-19T10:09:00.000,197.04,327.72,166.59,-105.23
2025-08-19T10:10:00.000,197.01,327.74,166.59,-105.17
2025-08-19T10:11:00.000,197.03,327.74,166.62,-105.16
2025-08-19T10:12:00.000,197.07,327.75,166.66,-105.17
2025-08-19T10:13:00.000,196.99,327.75,166.61,-105.11
2025-08-19T10:14:00.000,196.97,327.74,166.56,-105.15
2025-08-19T10:15:00.000,197.04,327.76,166.65,-105.13
2025-08-19T10:16:00.000,196.97,327.75,166.58,-105.10
2025-08-19T10:17:00.000,197.07,327.80,166.77,-105.00
2025-08-19T10:18:00.000,197.05,327.75,166.66,-105.14
2025-08-19T10:19:00.000,196.79,327.75,166.43,-105.01
2025-08-19T10:20:00.000,196.72,327.69,166.26,-105.15
2025-08-19T10:21:00.000,196.70,327.68,166.23,-105.16
2025-08-19T10:22:00.000,196.61,327.67,166.14,-105.14
2025-08-19T10:23:00.000,196.63,327.69,166.18,-105.11
2025-08-19T10:24:00.000,196.59,327.65,166.08,-105.19
2025-08-19T10:25:00.000,196.60,327.66,166.09,-105.18
2025-08-19T10:26:00.000,196.61,327.68,166.15,-105.13
2025-08-19T10:27:00.000,196.58,327.64,166.05,-105.23
2025-08-19T10:28:00.000,196.62,327.60,166.01,-105.35
2025-08-19T10:29:00.000,196.67,327.59,166.04,-105.41
2025-08-19T10:30:00.000,196.82,327.62,166.21,-105.40
2025-08-19T10:31:00.000,197.08,327.63,166.44,-105.53
2025-08-19T10:32:00.000,197.94,327.62,167.17,-105.99
2025-08-19T10:33:00.000,200.71,327.58,169.42,-107.61
2025-08-19T10:34:00.000,215.41,327.88,182.43,-114.54
2025-08-19T10:35:00.000,244.61,328.68,208.96,-127.17
2025-08-19T10:36:00.000,226.00,326.89,189.31,-123.44
2025-08-19T10:37:00.000,200.64,327.50,169.22,-107.81
2025-08-19T10:38:00.000,175.58,325.74,145.11,-98.85
2025-08-19T10:39:00.000,157.00,340.39,147.89,-52.69
2025-08-19T10:40:00.000,136.47,343.99,131.17,-37.65
2025-08-19T10:41:00.000,118.74,351.03,117.29,-18.51
2025-08-19T10:42:00.000,104.19,350.43,102.74,-17.32
2025-08-19T10:43:00.000,88.83,351.35,87.82,-13.36
2025-08-19T10:44:00.000,78.52,353.60,78.03,-8.76
2025-08-19T10:45:00.000,68.85,357.64,68.79,-2.84
2025-08-19T10:46:00.000,60.31,359.16,60.30,-0.89
2025-08-19T10:47:00.000,54.53,2.02,54.50,1.93
2025-08-19T10:48:00.000,48.11,9.51,47.45,7.95
2025-08-19T10:49:00.000,43.74,46.07,30.35,31.50
2025-08-19T10:50:00.000,39.93,48.61,26.40,29.95
2025-08-19T10:51:00.000,36.69,46.55,25.23,26.63
2025-08-19T10:52:00.000,34.54,43.11,25.21,23.60
2025-08-19T10:53:00.000,32.38,43.93,23.32,22.46
2025-08-19T10:54:00.000,31.02,41.84,23.11,20.69
2025-08-19T10:55:00.000,29.75,45.47,20.87,21.21
2025-08-19T10:56:00.000,28.57,49.67,18.49,21.78
2025-08-19T10:57:00.000,27.16,46.87,18.57,19.82
2025-08-19T10:58:00.000,25.67,42.93,18.79,17.48
2025-08-19T10:59:00.000,24.17,46.71,16.57,17.59
2025-08-19T11:00:00.000,22.47,48.16,14.99,16.74
2025-08-19T11:01:00.000,20.86,50.20,13.36,16.03
2025-08-19T11:02:00.000,19.26,55.72,10.85,15.92
2025-08-19T11:03:00.000,16.81,52.92,10.13,13.41
2025-08-19T11:04:00.000,13.50,52.67,8.19,10.74
2025-08-19T11:05:00.000,9.36,56.88,5.11,7.84
2025-08-19T11:06:00.000,4.67,54.02,2.75,3.78
2025-08-19T11:07:00.000,2.68,50.96,1.69,2.08
2025-08-19T11:08:00.000,1.69,49.46,1.10,1.28
2025-08-19T11:09:00.000,1.59,50.36,1.01,1.22
2025-08-19T11:10:00.000,1.54,49.64,1.00,1.18
2025-08-19T11:11:00.000,1.49,50.41,0.95,1.14
2025-08-19T11:12:00.000,1.54,50.59,0.98,1.19
2025-08-19T11:13:00.000,1.59,52.21,0.97,1.26
2025-08-19T11:14:00.000,1.62,52.30,0.99,1.29
2025-08-19T11:15:00.000,1.69,53.20,1.01,1.35
2025-08-19T11:16:00.000,1.79,54.80,1.03,1.46
2025-08-19T11:17:00.000,1.80,55.16,1.03,1.48
2025-08-19T11:18:00.000,1.71,54.10,1.00,1.38
2025-08-19T11:19:00.000,1.68,53.73,0.99,1.35
2025-08-19T11:20:00.000,1.67,53.34,1.00,1.34
2025-08-19T11:21:00.000,1.70,54.06,1.00,1.38
2025-08-19T11:22:00.000,1.72,53.71,1.02,1.39
2025-08-19T11:23:00.000,1.74,54.07,1.02,1.41
2025-08-19T11:24:00.000,1.72,54.01,1.01,1.39
2025-08-19T11:25:00.000,1.69,53.68,1.00,1.36
2025-08-19T11:26:00.000,1.68,54.41,0.98,1.37
2025-08-19T11:27:00.000,1.68,54.80,0.97,1.38
2025-08-19T11:28:00.000,1.74,55.76,0.98,1.44
2025-08-19T11:29:00.000,1.68,54.23,0.98,1.36
2025-08-19T11:30:00.000,1.56,52.10,0.96,1.23
2025-08-19T11:31:00.000,1.66,53.22,0.99,1.33
2025-08-19T11:32:00.000,1.69,54.82,0.97,1.38
2025-08-19T11:33:00.000,1.70,53.55,1.01,1.37
2025-08-19T11:34:00.000,1.67,53.75,0.99,1.35
2025-08-19T11:35:00.000,1.73,53.20,1.03,1.38
2025-08-19T11:36:00.000,1.66,53.12,1.00,1.33
2025-08-19T11:37:00.000,1.72,53.60,1.02,1.39
2025-08-19T11:38:00.000,1.52,53.54,0.90,1.22
2025-08-19T11:39:00.000,1.72,54.79,0.99,1.40
2025-08-19T11:40:00.000,1.58,53.36,0.94,1.27
2025-08-19T11:41:00.000,1.81,57.29,0.98,1.52
2025-08-19T11:42:00.000,1.62,53.29,0.97,1.30
2025-08-19T11:43:00.000,2.04,58.53,1.07,1.74
2025-08-19T11:44:00.000,1.90,58.30,1.00,1.62
